"module","gene","peak_stage","dynamic_range_log2cpm","log2fc_D30_vs_D0","log2fc_primaryKC_vs_D0","spearman_with_stage"
"Early_maturation","KRT1","Primary_KC",10.9808659704584,0.405388569824489,10.9808659704584,0.703528012858391
"Early_maturation","DSG1","Primary_KC",10.8933126305174,3.09809655207366,10.8933126305174,0.811393038307565
"Early_maturation","IVL","Primary_KC",8.24470877703137,4.82433862131616,8.24470877703137,0.835430943977651
"Early_maturation","CLDN1","Primary_KC",7.004692896178,1.60625923567922,7.004692896178,0.876374330997872
"Early_maturation","TGM1","Primary_KC",5.59694217156325,1.72846859973963,5.59694217156325,0.424052095644132
"Early_maturation","KRT10","Primary_KC",4.65507185543281,1.27389743408635,4.65507185543281,0.93291461041709
"Epidermal_commitment","KRT5","Primary_KC",16.4978825431096,13.2531927253195,16.4978825431096,0.911037797397968
"Epidermal_commitment","KRT14","Primary_KC",14.954053585551,9.25285340582531,14.954053585551,0.982212625319684
"Epidermal_commitment","TP63","Primary_KC",12.3042475217543,10.0612123106623,12.3042475217543,0.948709716042417
"Epidermal_commitment","COL17A1","Primary_KC",12.2970333928783,11.144002062257,11.7657636925374,0.961184750126698
"Epidermal_commitment","ITGB4","Primary_KC",8.22203259042264,7.81227742895006,8.22203259042264,0.848104191288263
"Epidermal_commitment","ITGA6","Primary_KC",4.4041382322061,2.40718707932883,2.58709885591735,0.791563911869046
"Off_target","VIM","Primary_KC",5.0493452740674,2.6438402351103,2.65662546227695,0.777428842014241
"Off_target","COL1A1","D30",4.64355609826883,4.31102242516506,-0.33253367310377,0.0141350698548044
"Off_target","PAX6","D0",4.35317468968243,-2.44665517214884,-2.17890138474827,-0.409917025789327
"Off_target","SOX1","D7",2.46824612324327,1.29569942248911,2.1581740540693,0.355874139608581
"Pluripotency","LIN28A","D0",11.1785025006189,-10.328295637751,-11.1785025006189,-0.975319819981503
"Pluripotency","SOX2","D0",9.42854785396114,-9.42854785396114,-8.93410294773256,-0.904644470707481
"Pluripotency","DPPA4","D0",9.15893470898626,-9.15893470898626,-8.32820210253841,-0.876374330997872
"Pluripotency","NANOG","D0",7.65529661772285,-7.65529661772285,-6.13008925459599,-0.383975644447533
"Pluripotency","POU5F1","D0",7.10285942607376,-7.10285942607376,-6.21414076133053,-0.47258540855081
"Surface_ectoderm","KRT19","D30",11.1960584545971,5.6019581163723,-5.59410033822478,0.0848104191288263
"Surface_ectoderm","TFAP2A","D15",9.66472916629734,9.48806941223559,9.05757544254327,0.12721562869324
"Surface_ectoderm","KRT18","D7",7.30604853031606,0.242990600074808,-4.92877691858593,-0.381646886079719
"Surface_ectoderm","KRT8","D7",5.8868774420126,1.45341508299065,-2.965065938746,-0.240296187531675
"Surface_ectoderm","EPCAM","D4",3.53174697092317,-2.72295447196742,-2.81292936416679,-0.565402794192176
"Surface_ectoderm","TFAP2C","D4",3.22939341849424,-0.245121478484048,-0.390317019661783,-0.636078143466198
"Terminal_barrier","SPRR1B","Primary_KC",11.6565364187147,7.49655277479263,11.6565364187147,0.982212625319684
"Terminal_barrier","SPRR1A","Primary_KC",9.31979818324886,2.1795908360818,9.31979818324886,0.827024464963918
"Terminal_barrier","FLG","Primary_KC",9.03975644182542,0.881615564705787,9.03975644182542,0.811393038307565
"Terminal_barrier","ABCA12","Primary_KC",8.46669601514762,6.8387583052179,8.46669601514762,0.947049680271894
"Terminal_barrier","LOR","Primary_KC",4.03998737720218,-0.348290839996521,3.69169653720566,0.373508940416998
