"gene","spearman_with_day","peak_day","dynamic_range"
"POU5F1",-0.75,0,6.572186369
"NANOG",-0.857142857142857,0,5.888454549
"TFAP2A",0.785714285714285,11,7.338791056
"KRT18",-0.5,0,1.138101601
"KRT19",0.964285714285714,26,4.384992051
"TP63",0.714285714285714,11,5.54587785
"KRT5",0.642857142857143,26,4.934230307
"KRT14",0.678571428571428,26,2.044283137
"ITGA6",-0.571428571428571,1,2.31529582
"KRT1",0.464285714285714,8,0.982323717
"IVL",0.25,11,0.753236981
"SPRR1B",0.535714285714286,8,0.628631008
"ABCA12",0.714285714285714,11,1.438375216
"DSG1",0.25,26,1.097105119
"TGM1",-0.0714285714285714,11,1.445017428
