"day","gene","class.Epithelial","n_cells.Epithelial","avg.Epithelial","pct.Epithelial","class.Other","n_cells.Other","avg.Other","pct.Other","pct_ratio","avg_ratio"
"D29","ABCA12","Epithelial",2983,0.0142802871190696,1.40797854508883,"Other",15511,0.00151898834512337,0.14828186448327,6.07365563420138,6.06604121398633
"D29","CLDN1","Epithelial",2983,0.0010747298033852,0.134093194770366,"Other",15511,0.00579577120820411,0.554445232415705,0.357697150464791,0.305297182589153
"D29","DSG1","Epithelial",2983,0.139952785011183,11.4649681528662,"Other",15511,0.00165224588183091,0.154728902069499,45.4010835005715,53.1446899311913
"D29","ITGA6","Epithelial",2983,0.567874180724141,40.6637613141133,"Other",15511,0.060131748495867,4.8030430017407,8.31397181294171,9.30570766780212
"D29","KRT1","Epithelial",2983,0.19920190390412,10.9956419711699,"Other",15511,0.0055357736488291,0.44484559344981,20.3647457271618,30.6317070726564
"D29","KRT10","Epithelial",2983,1.13325980631705,74.2876299027824,"Other",15511,1.22548557556811,73.1223003030108,1.01591495480133,0.924804848024132
"D29","KRT14","Epithelial",2983,0.0110348661999475,1.00569896077774,"Other",15511,0.000366754439112471,0.0386822255173747,7.97289599768656,8.805434140578
"D29","KRT5","Epithelial",2983,0.7732684864664,49.0110626885685,"Other",15511,0.025317589112745,2.12752240345561,22.0473933785722,29.4201905482079
"D29","SPRR1A","Epithelial",2983,0.00141083145755154,0.167616493462957,"Other",15511,0,0,2.67616493462957,2.41083145755154
"D29","SPRR1B","Epithelial",2983,0.154236566669543,8.24673147837747,"Other",15511,0.00333919271399822,0.290116691380311,21.3954738743555,35.775448776163
"D29","TGM1","Epithelial",2983,0.0083560389464566,0.737512571237009,"Other",15511,0.000943894383451388,0.090258526207208,4.40197129628181,4.81303872582056
"D29","TP63","Epithelial",2983,0.361918010932058,28.4277572913175,"Other",15511,0.00793541900844458,0.786538585519954,32.1788106657377,40.6156678930306
"D48","ABCA12","Epithelial",1082,0.0239481168262122,2.58780036968577,"Other",1543,0.000928867943709244,0.129617627997408,11.7055488863255,12.9340719812247
"D48","CLDN1","Epithelial",1082,0.0229219260139617,2.40295748613678,"Other",1543,0.0359900090158776,5.0550874918989,0.485531523969306,0.646713170675179
"D48","DSG1","Epithelial",1082,0.280078330302797,23.3826247689464,"Other",1543,0.00993362119918147,1.62022034996759,13.6509399911405,25.7077070059679
"D48","ITGA6","Epithelial",1082,0.424805849647554,33.7338262476895,"Other",1543,0.0687454655114079,9.00842514581983,3.71456379187756,6.10514026288787
"D48","KRT1","Epithelial",1082,1.2101965455819,41.4048059149723,"Other",1543,0.0946430598434204,9.00842514581983,4.55674886168662,12.6637159827883
"D48","KRT10","Epithelial",1082,1.43792763958488,78.9279112754159,"Other",1543,1.58016749083068,93.7135450421257,0.842393401080084,0.910041249854515
"D48","KRT14","Epithelial",1082,0.00981039735284932,1.01663585951941,"Other",1543,0.00406025135533724,0.648088139987038,1.49265280363722,2.13633604217055
"D48","KRT5","Epithelial",1082,1.62153295380803,79.4824399260628,"Other",1543,0.134887425541564,12.6377187297473,6.24777808448607,11.9402729674332
"D48","SPRR1B","Epithelial",1082,0.0838920092920103,6.00739371534196,"Other",1543,0.00469629142901567,0.583279325988334,8.93835578371682,14.9030312704137
"D48","TGM1","Epithelial",1082,0.0103306279361328,1.20147874306839,"Other",1543,0.00319278396773034,0.453661697990927,2.35067505625018,2.70241157744798
"D48","TP63","Epithelial",1082,0.330355779218479,28.9279112754159,"Other",1543,0.0235311150903232,4.08295528191834,6.939570069251,13.5075710173969
"D6","ABCA12","Epithelial",16779,0.000723553302664238,0.160915430001788,"Other",6550,0.000615536426658863,0.198473282442748,0.874166785939495,1.06686130638897
"D6","CLDN1","Epithelial",16779,0.00238299419540394,0.536384766672626,"Other",6550,0.00221469496828112,0.534351145038168,1.00320582953206,1.05235309377201
"D6","ITGA6","Epithelial",16779,0.151484777514887,27.1291495321533,"Other",6550,0.114718024019156,20.9160305343511,1.29563713221898,1.31772711128947
"D6","KRT10","Epithelial",16779,0.756380984944574,83.60450563204,"Other",6550,0.766295461961845,83.8473282442748,0.997107440852337,0.987078671113314
"D6","KRT5","Epithelial",16779,0.000267901313727997,0.0417188151856486,"Other",6550,0,0,1.41718815185649,1.267901313728
"D6","SPRR1B","Epithelial",16779,0.00202620411292663,0.351630013707611,"Other",6550,0.000619723414185804,0.16793893129771,1.68557070643011,1.86834621665813
"D6","TGM1","Epithelial",16779,0.007774899620725,1.68663209964837,"Other",6550,0.00333252882943968,0.793893129770992,1.99870883906009,2.02535285191855
"D6","TP63","Epithelial",16779,0.079342840509189,13.2963823827403,"Other",6550,0.044602293884975,9.64885496183207,1.37414931652884,1.76181576987863
